timestamp,Left_Heel,Left_Middle,Left_Top
1736322813.1741595,0,564,171
1736322813.2369502,0,48,416
1736322813.2932885,0,829,126
1736322813.356572,0,173,336
1736322813.4166038,0,590,144
1736322813.5366309,0,815,109
1736322813.5909407,0,0,575
1736322813.6531413,0,942,83
1736322813.716566,0,14,429
1736322813.772897,0,1014,64
1736322813.833832,0,157,336
1736322813.8937793,0,541,160
1736322814.0134916,0,885,61
1736322814.0763595,0,160,310
1736322814.136134,0,341,229
1736322814.1927009,0,417,217
1736322814.2575374,0,270,208
1736322814.3164892,0,388,136
1736322814.3689861,0,271,271
1736322814.4316795,0,138,366
1736322814.49609,0,138,464
1736322814.6102266,0,842,0
1736322814.7367668,0,1778,101
1736322814.7964036,0,551,219
1736322814.8559494,0,1004,78
1736322814.915486,0,1787,143
1736322814.9652143,0,2288,71
1736322815.03929,0,0,374
1736322815.0964575,0,354,293
1736322815.156662,0,3201,224
1736322815.2102187,0,1415,4095
1736322815.2687554,4095,0,3493
1736322815.391493,664,2023,2021
1736322815.4573479,0,3387,187
1736322815.5780032,0,3164,1796
1736322815.636429,0,3472,205
1736322815.6952095,4095,0,3687
1736322815.7521,4095,466,3254
1736322815.8796299,0,4095,103
1736322815.933513,0,0,3773
1736322815.9943264,4095,0,3474
1736322816.1167362,4095,0,3975
1736322816.1752145,1085,0,3527
1736322816.2933793,0,1527,3386
1736322816.3546176,1274,0,3767
1736322816.4150858,1118,0,3554
1736322816.5335581,4095,0,4095
1736322816.5905583,0,3408,4095
1736322816.6620562,1411,665,2395
1736322816.7139332,1579,0,2767
1736322816.7728994,3472,550,3455
1736322816.8937845,3338,0,2187
1736322816.9566264,2695,0,998
1736322817.0140328,4095,0,3648
1736322817.134577,0,4095,146
1736322817.1888404,2966,0,3919
1736322817.2564971,4095,0,3583
1736322817.3099284,0,3701,4095
1736322817.3686342,3754,0,3845
1736322817.498999,4095,0,3620
1736322817.5568864,4095,0,1874
1736322817.6145728,0,0,4095
1736322817.6745331,1503,1349,2480
1736322817.7357647,3120,0,2531
1736322817.7919393,4095,0,4012
1736322817.85258,4095,0,3671
1736322817.9154098,4095,0,3715
1736322817.9747386,1477,495,654
1736322818.0352206,4095,0,4006
1736322818.0876412,4095,0,3611
1736322818.156274,0,4095,0
1736322818.215171,0,4007,243
1736322818.2737129,4095,0,3923
1736322818.3330479,4095,265,3616
1736322818.3910198,4095,0,3561
1736322818.4554095,0,3741,161
1736322818.5729496,4095,0,3666
1736322818.689266,4095,0,3389
1736322818.7567875,2945,0,3453
1736322818.817028,2861,0,2287
1736322818.8726997,3306,0,3503
1736322818.9332175,560,1277,819
1736322818.9939685,2054,46,1162
1736322819.0531058,3959,0,3486
1736322819.1686609,1071,0,549
1736322819.23241,686,230,1593
1736322819.3563025,0,640,347
1736322819.4156656,1662,0,2303
1736322819.4688454,863,0,1906
1736322819.5357656,315,0,480
1736322819.596181,313,20,1089
