timestamp,Left_Heel,Left_Middle,Left_Top
1734602756.2842815,240,0,0
1734602756.3440108,298,0,31
1734602756.400709,0,2774,86
1734602756.4716353,0,3275,242
1734602756.5311549,0,3299,382
1734602756.59243,0,3264,202
1734602756.6520748,0,3279,227
1734602756.71043,0,3289,262
1734602756.7716846,0,3226,192
1734602756.8317652,0,3276,197
1734602756.8918502,0,3282,208
1734602756.9526536,0,3287,186
1734602757.0045366,0,3286,199
1734602757.072888,0,3291,205
1734602757.1297436,326,0,227
1734602757.1923084,484,0,331
1734602757.3005388,832,0,252
1734602757.3731585,575,0,71
1734602757.421126,880,0,64
1734602757.4892285,675,0,109
1734602757.5491858,558,0,0
1734602757.6729095,424,0,0
1734602757.7211115,431,0,0
1734602757.7889204,464,0,0
1734602757.8527145,701,0,108
1734602757.9127672,721,0,198
1734602757.973875,0,85,204
1734602758.0293026,0,402,568
1734602758.0932126,0,619,1089
1734602758.141441,0,889,1755
1734602758.2060895,0,1211,2593
1734602758.2717917,1982,0,1262
1734602758.3828204,296,483,0
1734602758.451322,48,437,0
1734602758.512431,0,342,0
1734602758.5719595,0,288,0
1734602758.6218026,0,3253,286
1734602758.6922495,0,3186,271
1734602758.751475,0,3182,224
1734602758.8103163,0,3149,241
1734602758.873724,0,3133,283
1734602758.9312584,0,3063,324
1734602758.9842503,0,2869,335
1734602759.0482228,0,2919,369
1734602759.1122093,0,2898,394
1734602759.1725688,0,2883,400
1734602759.2307148,0,2982,432
1734602759.291708,0,2865,425
1734602759.3989294,0,208,3041
1734602759.4731197,0,1920,3485
1734602759.528017,0,1872,4095
1734602759.5919466,0,2531,4095
1734602759.647825,0,2539,4095
1734602759.7047496,0,3650,4095
1734602759.825328,0,4095,4039
1734602759.8932507,177,3482,2735
1734602759.9520981,476,2657,70
1734602760.013107,538,3248,179
1734602760.0738597,464,3247,181
1734602760.1884127,0,2751,380
1734602760.2480028,0,2849,426
1734602760.3123713,0,2903,448
1734602760.3597445,0,2867,446
1734602760.4260094,0,2917,453
1734602760.4908285,0,2997,451
1734602760.5521827,0,2870,368
1734602760.6079738,0,2939,368
1734602760.6718194,0,2893,348
1734602760.7200444,0,2958,315
1734602760.7889628,0,2769,240
1734602760.8473022,0,2467,170
1734602760.9129984,0,2251,3923
1734602760.9600792,0,3245,3109
1734602761.0332537,0,2864,3986
1734602761.1527958,0,2943,4095
1734602761.2025666,0,3478,4095
1734602761.2728,0,2828,4095
1734602761.3822017,0,4095,3622
1734602761.4432974,0,4095,3003
1734602761.4994109,0,3895,2347
1734602761.5721095,0,3707,1938
1734602761.622127,0,3679,1967
1734602761.6878295,889,1667,0
1734602761.749431,1059,903,0
1734602761.8586366,1195,13,0
1734602761.9299135,1382,0,0
1734602761.992995,891,26,0
1734602762.0481415,1202,208,0
1734602762.160914,1791,1507,0
1734602762.226056,1693,2803,91
1734602762.292728,1531,3273,177
1734602762.3522906,1616,3274,179
1734602762.405152,2368,0,593
1734602762.4728222,553,36,82
1734602762.5305674,1775,194,1722
1734602762.5940819,3367,559,3631
1734602762.652509,2781,631,3615
1734602762.7061276,0,3583,4095
1734602762.7699776,0,3217,4095
1734602762.8835099,0,3505,826
1734602762.949818,0,3458,758
1734602763.0086575,0,3248,717
1734602763.0737321,0,1151,450
1734602763.129175,1911,3084,143
1734602763.1930587,2027,2263,11
1734602763.2488568,4095,2045,0
1734602763.374204,4095,314,0
